sim/operation/quit                                 Quit X-Plane.
sim/operation/toggle_full_screen                   Toggle full-screen mode.
sim/operation/reload_aircraft                      Force reloading the current aircraft (including art).
sim/operation/reload_aircraft_no_art               Force reloading the current aircraft (skip art reload).
sim/operation/reload_scenery                       Force reloading the current scenery.
sim/operation/fail_system                          Fail selected in failures screen.
sim/operation/make_panel_previews                  Make screenshots of your panels.
sim/view/track-ir_toggle                           Toggle TrackIR control.
sim/map/show_current                               Toggle the sectional map window.
sim/map/show_instructor_operator_station           Toggle the instructor operator station (IOS) window.
sim/map/show_low_enroute                           Toggle the low enroute map.
sim/map/show_high_enroute                          Toggle the high enroute map.
sim/map/show_sectional                             Toggle the sectional map.
sim/operation/toggle_flight_config                 Toggle the Flight Configuration window.
sim/operation/toggle_main_menu                     Toggle the Main Menu screen.
sim/operation/toggle_settings_window               Toggle the Settings window.
sim/operation/toggle_flight_school_window          Toggle the Flight School window.
sim/operation/toggle_key_shortcuts_window          Toggle the Keyboard Shortcuts window.
sim/operation/open_weight_and_balance_window       Open the Weight & Balance window.
sim/operation/open_failures_window                 Open the Failures window.
sim/operation/toggle_data_output_graph             Toggle display of the data output graph.
sim/operation/toggle_weather_map                   Toggle display of the weather map.
sim/operation/toggle_data_output_cockpit           Toggle display of the cockpit data output.
sim/operation/toggle_custom_location_window        Toggle the Location details window.
sim/operation/auto_board                           Auto-set electrical system for boarding.
sim/operation/auto_start                           Auto-start engines to running, real-time.
sim/operation/fully_service_acf                    Finish servicing current viewed aircraft.
sim/operation/quick_start                          Quick-start engines to running.
sim/engines/throttle_down                          Throttle down a bit.
sim/engines/throttle_up                            Throttle up a bit.
sim/engines/throttle_full                          Throttle to wide open!
sim/engines/throttle_idle                          Throttle to idle!
sim/engines/throttle_horizontal_down               Throttle horizontal down a bit.
sim/engines/throttle_horizontal_up                 Throttle horizontal up a bit.
sim/engines/prop_down                              Prop coarse a bit.
sim/engines/prop_up                                Prop fine a bit.
sim/engines/mixture_min                            Mixture to cut off.
sim/engines/mixture_down                           Mixture lean a bit.
sim/engines/mixture_up                             Mixture rich a bit.
sim/engines/mixture_max                            Mixture to full rich.
sim/engines/carb_heat_off                          Carb heat off.
sim/engines/carb_heat_on                           Carb heat on.
sim/engines/carb_heat_toggle                       Carb heat toggle.
sim/flight_controls/cowl_flaps_open                Move cowl flaps open a bit.
sim/flight_controls/cowl_flaps_closed              Move cowl flaps to closed a bit.
sim/magnetos/magnetos_off                          Magnetos off.
sim/magnetos/magnetos_both                         Magnetos both.
sim/engines/engage_starters                        Engage starters.
sim/engines/idle_hi_lo_toggle                      Idle high/low toggle.
sim/engines/idle_hi_lo_toggle_1                    Idle high/low toggle Engine 1.
sim/fadec/fadec_toggle                             FADEC toggle.
sim/engines/governor_on                            Throttle governor on.
sim/engines/governor_off                           Throttle governor off.
sim/engines/governor_toggle                        Throttle governor toggle.
sim/engines/collective_idle_release                Throttle idle release button.
sim/engines/collective_idle_release_1              Throttle idle release button, Engine 1.
sim/engines/clutch_on                              Clutch on.
sim/engines/clutch_off                             Clutch off.
sim/engines/clutch_toggle                          Clutch toggle.
sim/engines/beta_toggle                            Toggle Beta prop.
sim/engines/thrust_reverse_toggle                  Toggle thrust reversers.
sim/engines/thrust_reverse_hold                    Hold thrust reverse at max.
sim/starters/shut_down                             Pull fuel and mags for shutdown.
sim/magnetos/magnetos_down_1                       Magnetos down one notch for engine #1.
sim/magnetos/magnetos_up_1                         Magnetos up one notch for engine #1.
sim/magnetos/magnetos_off_1                        Magnetos off for engine #1.
sim/magnetos/magnetos_left_1                       Magnetos left for engine #1.
sim/magnetos/magnetos_right_1                      Magnetos right for engine #1.
sim/magnetos/magnetos_both_1                       Magnetos both for engine #1.
sim/ignition/ignition_down_1                       Ignition key down one notch for engine #1.
sim/ignition/ignition_up_1                         Ignition key up one notch for engine #1.
sim/magnetos/magnetos_left_on_1                    Magnetos left rocker switch on for engine #1.
sim/magnetos/magnetos_right_on_1                   Magnetos right rocker switch on for engine #1.
sim/magnetos/magnetos_left_off_1                   Magnetos left rocker switch off for engine #1.
sim/magnetos/magnetos_right_off_1                  Magnetos right rocker switch off for engine #1.
sim/igniters/igniter_arm_off_1                     Igniter #1 arm off.
sim/igniters/igniter_arm_on_1                      Igniter #1 arm on.
sim/igniters/igniter_contin_off_1                  Igniter #1 contin-ignition off.
sim/igniters/igniter_contin_on_1                   Igniter #1 contin-ignition on.
sim/starters/eng_mode_norm                         Engine mode selector: NORM.
sim/starters/eng_mode_start                        Engine mode selector: IGN/START.
sim/starters/eng_mode_crank                        Engine mode selector: CRANK.
sim/starters/engage_starter_1                      Engage starter #1.
sim/engines/throttle_down_1                        Throttle down a bit for engine #1.
sim/engines/throttle_up_1                          Throttle up a bit for engine #1.
sim/engines/prop_down_1                            Prop down a bit for engine #1.
sim/engines/prop_up_1                              Prop up a bit for engine #1.
sim/engines/mixture_down_1                         Mixture down a bit for engine #1.
sim/engines/mixture_up_1                           Mixture up a bit for engine #1.
sim/engines/beta_toggle_1                          Toggle beta prop #1.
sim/engines/thrust_reverse_toggle_1                Toggle thrust reversers #1.
sim/engines/thrust_reverse_hold_1                  Hold thrust reverse at max #1.
sim/flight_controls/cowl_flaps_closed_1            Move cowl flaps #1 closed a bit.
sim/flight_controls/cowl_flaps_open_1              Move cowl flaps #1 open a bit.
sim/fadec/fadec_1_off                              FADEC #1 off.
sim/fadec/fadec_1_on                               FADEC #1 on.
sim/altair/alternate_air_off_1                     Alternate air #1 off.
sim/altair/alternate_air_on_1                      Alternate air #1 on.
sim/altair/alternate_air_backup_off_1              Alternate air backup #1 off.
sim/altair/alternate_air_backup_on_1               Alternate air backup #1 on.
sim/flight_controls/flaps_up                       Flaps up a notch.
sim/flight_controls/flaps_down                     Flaps down a notch.
sim/flight_controls/flaps_up_full                  Flaps retract fully.
sim/flight_controls/flaps_down_full                Flaps extend fully.
sim/flight_controls/flaps_detent_1                 Flaps 1st detent.
sim/flight_controls/flaps_detent_2                 Flaps 2nd detent.
sim/flight_controls/flaps_detent_3                 Flaps 3rd detent.
sim/flight_controls/flaps_detent_4                 Flaps 4th detent.
sim/flight_controls/flaps_detent_5                 Flaps 5th detent.
sim/flight_controls/flaps_detent_6                 Flaps 6th detent.
sim/flight_controls/flaps_detent_7                 Flaps 7th detent.
sim/flight_controls/flaps_detent_8                 Flaps 8th detent.
sim/flight_controls/vector_sweep_aft               Vector or sweep aft.
sim/flight_controls/vector_sweep_forward           Vector or sweep forward.
sim/flight_controls/wings_fold_aft                 Folding wings: Fold aft.
sim/flight_controls/wings_fold_fwd                 Folding wings: Fold forward.
sim/flight_controls/blimp_lift_down                Blimp lift down a bit.
sim/flight_controls/blimp_lift_up                  Blimp lift up a bit.
sim/flight_controls/speed_brakes_down_one          Speedbrakes extend one.
sim/flight_controls/speed_brakes_up_one            Speedbrakes retract one.
sim/flight_controls/speed_brakes_down_all          Speedbrakes extend full.
sim/flight_controls/speed_brakes_up_all            Speedbrakes retract full.
sim/flight_controls/landing_gear_down              Landing gear down.
sim/flight_controls/landing_gear_up                Landing gear up.
sim/flight_controls/landing_gear_off               Landing gear off.
sim/flight_controls/landing_gear_downlock_release  Landing gear downlock release (override squat switch).
sim/flight_controls/landing_gear_emer_on           Landing gear emergency override down.
sim/flight_controls/landing_gear_emer_off          Landing gear emergency override off.
sim/flight_controls/nwheel_steer_on                Nosewheel steer on.
sim/flight_controls/nwheel_steer_off               Nosewheel steer off.
sim/flight_controls/nwheel_steer_toggle            Nosewheel steer toggle.
sim/flight_controls/tail_wheel_lock_toggle         Toggle tailwheel lock.
sim/flight_controls/tail_wheel_lock_engage         Engage tailwheel lock.
sim/flight_controls/water_rudder_down              Water rudder down (engage).
sim/flight_controls/water_rudder_up                Water rudder up (disengage).
sim/flight_controls/left_brake                     Hold brake left.
sim/flight_controls/right_brake                    Hold brake right.
sim/flight_controls/brakes_regular                 Hold brakes regular.
sim/flight_controls/brakes_max                     Hold brakes maximum.
sim/flight_controls/brakes_dn_auto                 Auto-brakes down.
sim/flight_controls/brakes_up_auto                 Auto-brakes up.
sim/flight_controls/brakes_off_auto                Auto-brakes off/disarm.
sim/flight_controls/brakes_rto_auto                Auto-brakes RTO.
sim/flight_controls/brakes_1_auto                  Auto-brakes 1.
sim/flight_controls/brakes_2_auto                  Auto-brakes 2.
sim/flight_controls/brakes_3_auto                  Auto-brakes 3.
sim/flight_controls/brakes_max_auto                Auto-brakes max.
sim/systems/yaw_damper_on                          Yaw damper on.
sim/systems/yaw_damper_off                         Yaw damper off.
sim/systems/yaw_damper_toggle                      Toggle yaw damper.
sim/systems/pitch_augmentation_on                  Pitch augmentation on.
sim/systems/pitch_augmentation_off                 Pitch augmentation off.
sim/systems/pitch_augmentation_toggle              Toggle pitch augmentation.
sim/systems/roll_augmentation_on                   Roll augmentation on.
sim/systems/roll_augmentation_off                  Roll augmentation off.
sim/systems/roll_augmentation_toggle               Toggle roll augmentation.
sim/systems/prop_sync_on                           Prop sync on.
sim/systems/prop_sync_off                          Prop sync off.
sim/systems/feather_mode_down                      Auto-feather mode down.
sim/systems/feather_mode_up                        Auto-feather mode up.
sim/systems/feather_mode_off                       Auto-feather off.
sim/systems/feather_mode_arm                       Auto-feather on.
sim/flight_controls/hydraulic_on                   All engine-driven hydraulic pumps on
sim/flight_controls/hydraulic_off                  All engine-driven hydraulic pumps off
sim/flight_controls/hydraulic_acmp_on              Electric motor-driven hydraulic pump 1 on
sim/flight_controls/hydraulic_acmp_off             Electric motor-driven hydraulic pump 1 off
sim/flight_controls/hydraulic_acmp2_on             Electric motor-driven hydraulic pump 2 on
sim/flight_controls/hydraulic_acmp2_off            Electric motor-driven hydraulic pump 2 off
sim/flight_controls/hydraulic_acmp3_on             Electric motor-driven hydraulic pump 3 on
sim/flight_controls/hydraulic_acmp3_off            Electric motor-driven hydraulic pump 3 off
sim/flight_controls/hydraulic_eng1A_on             Engine 1-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng2A_on             Engine 2-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng3A_on             Engine 3-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng4A_on             Engine 4-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng5A_on             Engine 5-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng6A_on             Engine 6-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng7A_on             Engine 7-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng8A_on             Engine 8-driven hydraulic pump A on
sim/flight_controls/hydraulic_eng1B_on             Engine 1-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng2B_on             Engine 2-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng3B_on             Engine 3-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng4B_on             Engine 4-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng5B_on             Engine 5-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng6B_on             Engine 6-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng7B_on             Engine 7-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng8B_on             Engine 8-driven hydraulic pump B on
sim/flight_controls/hydraulic_eng1C_on             Engine 1-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng2C_on             Engine 2-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng3C_on             Engine 3-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng4C_on             Engine 4-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng5C_on             Engine 5-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng6C_on             Engine 6-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng7C_on             Engine 7-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng8C_on             Engine 8-driven hydraulic pump C on
sim/flight_controls/hydraulic_eng1A_off            Engine 1-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng2A_off            Engine 2-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng3A_off            Engine 3-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng4A_off            Engine 4-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng5A_off            Engine 5-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng6A_off            Engine 6-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng7A_off            Engine 7-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng8A_off            Engine 8-driven hydraulic pump A off
sim/flight_controls/hydraulic_eng1B_off            Engine 1-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng2B_off            Engine 2-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng3B_off            Engine 3-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng4B_off            Engine 4-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng5B_off            Engine 5-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng6B_off            Engine 6-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng7B_off            Engine 7-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng8B_off            Engine 8-driven hydraulic pump B off
sim/flight_controls/hydraulic_eng1C_off            Engine 1-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng2C_off            Engine 2-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng3C_off            Engine 3-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng4C_off            Engine 4-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng5C_off            Engine 5-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng6C_off            Engine 6-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng7C_off            Engine 7-driven hydraulic pump C off
sim/flight_controls/hydraulic_eng8C_off            Engine 8-driven hydraulic pump C off
sim/flight_controls/hydraulic_rat_man_on           RAT-driven hydraulic pump on
sim/flight_controls/tailhook_down                  Tailhook down.
sim/flight_controls/tailhook_up                    Tailhook up.
sim/flight_controls/tailhook_toggle                Toggle the tailhook.
sim/flight_controls/canopy_open                    Canopy open.
sim/flight_controls/canopy_close                   Canopy close.
sim/flight_controls/rotor_brake_toggle             Toggle rotor brake.
sim/flight_controls/hotel_mode_toggle              Toggle hotel mode.
sim/systems/artificial_stability_toggle            Toggle artificial stability power.
sim/flight_controls/puffers_toggle                 Toggle puffers.
sim/fuel/fuel_tank_selector_lft_one                Select fuel tank left one.
sim/fuel/fuel_tank_selector_rgt_one                Select fuel tank right one.
sim/fuel/fuel_tank_pump_1_on                       Fuel pump for tank #1 on.
sim/fuel/fuel_tank_pump_1_off                      Fuel pump for tank #1 off.
sim/fuel/fuel_selector_none                        Set fuel selector to none (shut off).
sim/fuel/fuel_selector_lft                         Set fuel selector to left tanks.
sim/fuel/fuel_selector_ctr                         Set fuel selector to center tanks.
sim/fuel/fuel_selector_rgt                         Set fuel selector to right tanks.
sim/fuel/fuel_selector_aft                         Set fuel selector to aft (trim) tanks.
sim/fuel/fuel_selector_all                         Set fuel selector to all tanks.
sim/fuel/fuel_selector_none2                       Set fuel selector to none (shut off), alternate position.
sim/fuel/left_fuel_selector_none                   Set fuel selector for left engine to none (shut off).
sim/fuel/left_fuel_selector_lft                    Set fuel selector for left engine to left tanks.
sim/fuel/left_fuel_selector_ctr                    Set fuel selector for left engine to center tanks.
sim/fuel/left_fuel_selector_rgt                    Set fuel selector for left engine to right tanks.
sim/fuel/left_fuel_selector_aft                    Set fuel selector for left engine to aft (trim) tanks.
sim/fuel/left_fuel_selector_all                    Set fuel selector for left engine to all tanks.
sim/fuel/left_fuel_selector_down                   Fuel selector for left engine down one position.
sim/fuel/left_fuel_selector_up                     Fuel selector for left engine up one position.
sim/fuel/right_fuel_selector_none                  Set fuel selector for right engine to none (shut off).
sim/fuel/right_fuel_selector_lft                   Set fuel selector for right engine to left tanks.
sim/fuel/right_fuel_selector_ctr                   Set fuel selector for right engine to center tanks.
sim/fuel/right_fuel_selector_rgt                   Set fuel selector for right engine to right tanks.
sim/fuel/right_fuel_selector_aft                   Set fuel selector for right engine to aft (trim) tanks.
sim/fuel/right_fuel_selector_all                   Set fuel selector for right engine to all tanks.
sim/fuel/right_fuel_selector_down                  Fuel selector for right engine down one position.
sim/fuel/right_fuel_selector_up                    Fuel selector for right engine up one position.
sim/fuel/fuel_transfer_to_lft                      Transfer fuel to left.
sim/fuel/fuel_transfer_to_ctr                      Transfer fuel to center.
sim/fuel/fuel_transfer_to_rgt                      Transfer fuel to right.
sim/fuel/fuel_transfer_to_aft                      Transfer fuel to aft.
sim/fuel/fuel_transfer_to_off                      Transfer fuel to none.
sim/fuel/fuel_transfer_from_lft                    Transfer fuel from left.
sim/fuel/fuel_transfer_from_ctr                    Transfer fuel from center.
sim/fuel/fuel_transfer_from_rgt                    Transfer fuel from right.
sim/fuel/fuel_transfer_from_aft                    Transfer fuel from aft.
sim/fuel/fuel_transfer_from_off                    Transfer fuel from none.
sim/fuel/fuel_crossfeed_from_lft_tank              Cross-feed fuel from left tank.
sim/fuel/fuel_crossfeed_off                        Cross-feed fuel off.
sim/fuel/fuel_crossfeed_from_rgt_tank              Cross-feed fuel from right tank.
sim/fuel/fuel_firewall_valve_lft_open              Firewall fuel valve left open.
sim/fuel/fuel_firewall_valve_lft_closed            Firewall fuel valve left closed.
sim/fuel/fuel_firewall_valve_rgt_open              Firewall fuel valve right open.
sim/fuel/fuel_firewall_valve_rgt_closed            Firewall fuel valve right closed.
sim/fuel/left_xfer_override                        Aux to feeder transfer left override.
sim/fuel/left_xfer_on                              Aux to feeder transfer left on.
sim/fuel/left_xfer_off                             Aux to feeder transfer left off.
sim/fuel/left_xfer_up                              Aux to feeder transfer left off->on->overide.
sim/fuel/left_xfer_dn                              Aux to feeder transfer left override->on->off.
sim/fuel/right_xfer_override                       Aux to feeder transfer right override.
sim/fuel/right_xfer_on                             Aux to feeder transfer right on.
sim/fuel/right_xfer_off                            Aux to feeder transfer right off.
sim/fuel/right_xfer_up                             Aux to feeder transfer right off->on->overide.
sim/fuel/right_xfer_dn                             Aux to feeder transfer right override->on->off.
sim/fuel/left_xfer_test                            Aux to feeder transfer test left.
sim/fuel/right_xfer_test                           Aux to feeder transfer test right.
sim/fuel/totalizer_init                            Initialize fuel totalizer to actual fuel.
sim/fuel/auto_crossfeed_on_open                    Crossfeed valve open.
sim/fuel/auto_crossfeed_auto                       Open crossfeed valve when pressure difference detected.
sim/fuel/auto_crossfeed_off                        Close crossfeed valve and turn off auto-crossfeed.
sim/fuel/auto_crossfeed_up                         Auto-crossfeed off->auto->on.
sim/fuel/auto_crossfeed_down                       Auto-crossfeed on->auto->off.
sim/fuel/fuel_pumps_on                             Fuel pumps on.
sim/fuel/fuel_pumps_off                            Fuel pumps off.
sim/fuel/fuel_pump_1_on                            Fuel pump for engine #1 on.
sim/fuel/fuel_pump_1_off                           Fuel pump for engine #1 off.
sim/fuel/fuel_pump_1_tog                           Fuel pump for engine #1 toggle.
sim/fuel/fuel_pump_1_prime                         Fuel pump prime for engine #1 on.
sim/fuel/engine_1_primer                           Actuate the primer plugin on engine #1.
sim/electrical/cross_tie_on                        Cross-tie on.
sim/electrical/cross_tie_off                       Cross-tie off.
sim/electrical/inverters_on                        Inverters on.
sim/electrical/inverters_off                       Inverters off.
sim/electrical/inverter_1_on                       Inverter 1 on.
sim/electrical/inverter_1_off                      Inverter 1 off.
sim/electrical/inverter_2_on                       Inverter 2 on.
sim/electrical/inverter_2_off                      Inverter 2 off.
sim/electrical/batteries_toggle                    Batteries all toggle.
sim/electrical/battery_1_on                        Battery 1 on.
sim/electrical/battery_2_on                        Battery 2 on.
sim/electrical/battery_1_off                       Battery 1 off.
sim/electrical/battery_2_off                       Battery 2 off.
sim/electrical/battery_1_toggle                    Battery 1 toggle.
sim/electrical/battery_2_toggle                    Battery 2 toggle.
sim/electrical/generators_toggle                   Generators all toggle.
sim/electrical/generator_1_off                     Generator #1 off.
sim/electrical/generator_1_on                      Generator #1 on.
sim/electrical/generator_1_reset                   Generator #1 reset.
sim/electrical/APU_start                           APU start.
sim/electrical/APU_on                              APU on.
sim/electrical/APU_off                             APU off.
sim/electrical/APU_fire_shutoff                    APU emergency shutoff with fire handle.
sim/electrical/APU_generator_on                    APU generator on.
sim/electrical/APU_generator_off                   APU generator off.
sim/electrical/air_driven_generator_on             Air-driven generator on.
sim/electrical/GPU_on                              GPU on.
sim/electrical/GPU_off                             GPU off.
sim/electrical/recharge                            Re-charge batteries.
sim/lights/nav_lights_on                           Nav lights on.
sim/lights/nav_lights_off                          Nav lights off.
sim/lights/beacon_lights_on                        Beacon lights on.
sim/lights/beacon_lights_off                       Beacon lights off.
sim/lights/strobe_lights_on                        Strobe lights on.
sim/lights/strobe_lights_off                       Strobe lights off.
sim/lights/taxi_lights_on                          Taxi lights on.
sim/lights/taxi_lights_off                         Taxi lights off.
sim/lights/landing_lights_on                       Landing lights on.
sim/lights/landing_lights_off                      Landing lights off.
sim/lights/landing_01_light_on                     Landing light 01 on.
sim/lights/landing_01_light_off                    Landing light 01 off.
sim/lights/spot_lights_on                          Spot lights on.
sim/lights/spot_lights_off                         Spot lights off.
sim/systems/avionics_on                            Avionics on.
sim/systems/avionics_off                           Avionics off.
sim/systems/gnd_com_power_on                       Avionics2/Ground clearance bus on.
sim/systems/gnd_com_power_off                      Avionics2/Ground clearance bus off.
sim/bleed_air/bleed_air_down                       Bleed air mode down.
sim/bleed_air/bleed_air_up                         Bleed air mode up.
sim/bleed_air/bleed_air_off                        Bleed air off.
sim/bleed_air/bleed_air_left                       Bleed air from left engine.
sim/bleed_air/bleed_air_both                       Bleed air from either engine.
sim/bleed_air/bleed_air_right                      Bleed air from right engine.
sim/bleed_air/bleed_air_apu                        Bleed air from APU.
sim/bleed_air/bleed_air_auto                       Bleed air from any engine or APU.
sim/bleed_air/bleed_air_left_on                    Bleed air left engine on.
sim/bleed_air/bleed_air_left_ins_only              Bleed air left engine instruments only.
sim/bleed_air/bleed_air_left_off                   Bleed air left engine off.
sim/bleed_air/bleed_air_right_on                   Bleed air right engine on.
sim/bleed_air/bleed_air_right_ins_only             Bleed air right engine instruments only.
sim/bleed_air/bleed_air_right_off                  Bleed air right engine off.
sim/bleed_air/engine_1_off                         Bleed air shut off engine 1.
sim/bleed_air/engine_1_on                          Bleed air on engine 1.
sim/bleed_air/engine_1_toggle                      Bleed air toggle engine 1.
sim/bleed_air/gpu_off                              Bleed air shut off GPU.
sim/bleed_air/gpu_on                               Bleed air on GPU.
sim/bleed_air/gpu_toggle                           Bleed air toggle GPU.
sim/bleed_air/apu_off                              Bleed air shut off APU.
sim/bleed_air/apu_on                               Bleed air on APU.
sim/bleed_air/isolation_left_shut                  Bleed air shut left isolation.
sim/bleed_air/isolation_left_open                  Bleed air open left isolation.
sim/bleed_air/isolation_right_shut                 Bleed air shut right isolation.
sim/bleed_air/isolation_right_open                 Bleed air open right isolation.
sim/bleed_air/pack_left_off                        Bleed air left pack off.
sim/bleed_air/pack_left_on                         Bleed air left pack on.
sim/bleed_air/pack_center_off                      Bleed air center pack off.
sim/bleed_air/pack_center_on                       Bleed air center pack on.
sim/bleed_air/pack_right_off                       Bleed air right pack off.
sim/bleed_air/pack_right_on                        Bleed air right pack on.
sim/pressurization/test                            Pressurization test.
sim/pressurization/dump_on                         Dump pressurization on.
sim/pressurization/dump_off                        Dump pressurization off.
sim/pressurization/vvi_down                        Cabin vertical speed down.
sim/pressurization/vvi_up                          Cabin vertical speed up.
sim/pressurization/cabin_alt_down                  Cabin altitude down.
sim/pressurization/cabin_alt_up                    Cabin altitude up.
sim/pressurization/aircond_on                      Air conditioning on.
